chunk_hash,n_lines,risk_score_logged_mean,risk_score_logged_std,model_score_mean,model_score_std,pred_bot_frac
e6eab20487baa6629b578e4657a80ff2a28ffcf995f5eec7da94fe6e7ed15a76,4,0.33847249999999995,0.023959458821100274,0.369737938806954,4.5324665183683945e-17,0.0
e81b265e2f499d115a0093bef74bd379f09ae648270e26df0116d7f54b5573ff,4,0.421288,0.004511415003447729,0.36118198803391577,4.5324665183683945e-17,0.0
e891b3ae4cb14fbcfbef129e115dfd9007434406d27d3629574a0fe8e65b828f,4,0.0845405,0.0603717855983516,0.0877067762018091,1.6024689053196365e-17,0.0
e92ce3424389b5d97ee0217fbd389fa14512c67d35e05feceddd0ab990ac3b6a,4,0.055602,0.002101554979850235,0.15036353714517559,3.204937810639273e-17,0.0
e99d428766c24584e6c707b864fa0d8ed7192bc2976a1b766157172d369f258a,16,0.0666795,0.04521940435697932,0.10804721249444982,2.1499376424746292e-17,0.0
ea1d94742efdfd05e0050c6021bcffe4b10c755161a078bc6a4fa1b75cce9cd7,16,0.0445435,0.02154359896272363,0.05750249532099981,9.813077866773595e-18,0.0
eb34c85fee097aa6bd97a6e4be70e986844f8a655229edadc26d126522533a0d,12,0.03675891666666667,0.026739729894122082,0.07800471059780147,1.8238986450946097e-17,0.0
eb4989b40e7f178dac6dcaca8de6e4cb38cdcedfd34be4873471b18c5f8a3ae1,4,0.01419,0.005913221457040146,0.11462439082972718,1.3877787807814457e-17,0.0
ebf1733df3ddcf2d9bc0a4e614f2a98eec0a92c31d1a4e92101bacaad4e4d3a0,16,0.0240865,0.015595729338508026,0.08997702280442596,1.1884227471249331e-17,0.0
ec8e1d5b44eb6cfece7017a69823afb6ab66dede93634fb2bd6ea861878b556b,12,0.0340655,0.020598175879078577,0.079141150749538,1.917491942193143e-17,0.0
ec9d6601103fc215d918588cca163cb0bd598078876455ab40146332e53f9a6f,12,0.031363916666666665,0.018694484658015792,0.05139276798866258,6.6159757481198425e-18,0.0
f0642117e3e3bac5b370c5765f691d18aa51a163e554aa5bf85482f5ca21a73a,4,0.4241735,0.006439187552271899,0.3863508769383843,3.204937810639273e-17,0.0
f0bbc2218b37f2783758894084b19ff83507a1a52a0a8e4df1db72659647705d,16,0.0357795,0.025031349565428282,0.0595909689719979,1.2668629051016912e-17,0.0
f3444595888c5a7599f1da1301976a5efa5b6f9fc9636a7c1a276784c31001ee,12,0.03752416666666667,0.02591017983809499,0.09204194571642632,1.0249425556552122e-17,0.0
f4c3335f8bd3174f3e160c5941aab15bdf7b9ee2be84a17cde1db94c0d415f73,16,0.0557975,0.04877635226213621,0.09679534369616556,2.1499376424746292e-17,0.0
f50d64e23790125e3346bab10137ed08e4d249e0ced9f72512ccd0702ba0a902,12,0.04002141666666667,0.01983453669032118,0.05303126697795826,8.102882366760908e-18,0.0
